t,x,y,z,roll,pitch,yaw
1.461370706558227539e+00,-1.211557479794626814e-03,-1.683637577455675272e-03,-6.993614076715752234e-04,4.445680765759836561e-02,3.529822381633196393e-02,7.841348864427532097e-04
1.461382627487182617e+00,-1.211596523306350190e-03,-1.683736018300069489e-03,-6.993654650735240405e-04,4.445688560878574558e-02,3.529821535962818918e-02,7.840924924511926851e-04
1.461394309997558594e+00,-1.211634785151971712e-03,-1.683832474537575157e-03,-6.993694478352893923e-04,4.445691879046489298e-02,3.529819238905521073e-02,7.840848952293621001e-04
1.519992113113403320e+00,-1.440472668273657915e-03,-2.150920217207031616e-03,-5.921423896742282521e-04,4.432656532397852983e-02,3.538689570202011719e-02,8.314009005370425484e-04
1.520076990127563477e+00,-1.440857627695334977e-03,-2.151572547999728094e-03,-5.918029140203823809e-04,4.432609671303224669e-02,3.538700812268574802e-02,8.314863233940292080e-04
1.520117998123168945e+00,-1.441043601097810991e-03,-2.151887726951249094e-03,-5.916389355024179522e-04,4.432577340736441884e-02,3.538688083216207092e-02,8.314607168304484182e-04
1.520153284072875977e+00,-1.441203612049149485e-03,-2.152159017062784188e-03,-5.914978924207799256e-04,4.432560645875947142e-02,3.538694522881143112e-02,8.314694697607318778e-04
1.520187377929687500e+00,-1.441358211118573150e-03,-2.152421254010333448e-03,-5.913616726863538771e-04,4.432564952124141283e-02,3.538687597664115503e-02,8.314868995778244365e-04
1.570963144302368164e+00,-1.671522941614253955e-03,-2.627723372692626971e-03,-3.682139784270212538e-04,4.433390684978862073e-02,3.551046694877458415e-02,9.460203368412951983e-04
1.571062564849853516e+00,-1.671973531184082172e-03,-2.628819950922890464e-03,-3.677371855724103364e-04,4.433471175975375184e-02,3.551043453024024799e-02,9.461190491275877799e-04
1.571102857589721680e+00,-1.672156194221423395e-03,-2.629264429341147784e-03,-3.675438010702251424e-04,4.433479301443356280e-02,3.551051452773476558e-02,9.460984809661814130e-04
1.571150064468383789e+00,-1.672370255475233479e-03,-2.629785163947402464e-03,-3.673171093668406505e-04,4.433481281609723268e-02,3.551043510450394014e-02,9.462213508486257791e-04
1.571186065673828125e+00,-1.672533516490075887e-03,-2.630182226063973103e-03,-3.671442534170699015e-04,4.433483652198302871e-02,3.551034811422192766e-02,9.461539735462079839e-04
1.630226850509643555e+00,-1.971969548864002490e-03,-3.138431104618357934e-03,-1.312823655610980019e-04,4.439916726732221625e-02,3.553405277642590621e-02,8.662188162247195199e-04
1.630314588546752930e+00,-1.972461612278474455e-03,-3.138973953775368343e-03,-1.310024755068230073e-04,4.439919234438942375e-02,3.553401977495335151e-02,8.664224101489262624e-04
1.630357742309570312e+00,-1.972703606835379819e-03,-3.139240882864613620e-03,-1.308648500627796201e-04,4.439904617404128589e-02,3.553421264750965952e-02,8.663027756005790966e-04
1.630391597747802734e+00,-1.972893414878934028e-03,-3.139450324522227026e-03,-1.307569284750388161e-04,4.439926295513154514e-02,3.553429670843057803e-02,8.662666913858177139e-04
1.630427598953247070e+00,-1.973095200656433974e-03,-3.139673144059773168e-03,-1.306420908383509069e-04,4.439938326148142045e-02,3.553437230086414766e-02,8.662125004328079247e-04
1.630461692810058594e+00,-1.973286247586689742e-03,-3.139884277770130152e-03,-1.305332437144495329e-04,4.439934015619560748e-02,3.553439379222270156e-02,8.662311607151274798e-04
